Date,Cash,Holdings,Total Assets,PnL
2005-01-03,900746.5798309445,99253.42016905546,1000000.0,0.0
2005-01-04,900746.5798309445,97912.7810844779,998659.3609154224,-1340.6390845775604
2005-01-05,900746.5798309445,97409.0548555553,998155.6346864998,-1844.365313500166
2005-01-06,900746.5798309445,97783.30480381846,998529.884634763,-1470.1153652369976
2005-01-07,900746.5798309445,97443.10322597623,998189.6830569208,-1810.3169430792332
2005-01-10,900746.5798309445,98061.61285713315,998808.1926880777,-1191.8073119223118
2005-01-11,900746.5798309445,97555.29322102666,998301.8730519712,-1698.1269480288029
2005-01-12,900746.5798309445,97767.75870516896,998514.3385361135,-1485.6614638864994
2005-01-13,900746.5798309445,97547.87215262651,998294.451983571,-1705.5480164289474
2005-01-14,900746.5798309445,98399.16644647717,999145.7462774217,-854.2537225782871
2005-01-18,900746.5798309445,99394.03506502509,1000140.6148959696,140.6148959696293
2005-01-19,900746.5798309445,98522.04959958792,999268.6294305325,-731.3705694675446
2005-01-20,900746.5798309445,97713.40096876025,998459.9807997048,-1540.0192002952099
2005-01-21,900626.3486984372,97346.79598778486,997973.1446862221,-2026.8553137779236
2005-01-24,900626.3486984372,96815.36935061216,997441.7180490494,-2558.2819509506226
2005-01-25,900626.3486984372,96976.20440736413,997602.5531058013,-2397.446894198656
2005-01-26,900626.3486984372,97834.98440995812,998461.3331083953,-1538.666891604662
2005-01-27,900626.3486984372,97653.40979427099,998279.7584927082,-1720.2415072917938
2005-01-28,900626.3486984372,97547.11260452867,998173.4613029659,-1826.5386970341206
2005-01-31,900626.3486984372,98651.98775961995,999278.3364580572,-721.6635419428349
2005-02-01,900626.3486984372,99317.80149966478,999944.150198102,-55.849801898002625
2005-02-02,900626.3486984372,99686.77402794361,1000313.1227263808,313.12272638082504
2005-02-03,900626.3486984372,99325.96536099911,999952.3140594363,-47.68594056367874
2005-02-04,900626.3486984372,100762.59858742356,1001388.9472858608,1388.947285860777
2005-02-07,900626.3486984372,100619.20158207417,1001245.5502805114,1245.5502805113792
2005-02-08,900626.3486984372,100745.21517068148,1001371.5638691187,1371.5638691186905
2005-02-09,900626.3486984372,99853.64742204547,1000479.9961204827,479.9961204826832
2005-02-10,900626.3486984372,100485.45409828424,1001111.8027967215,1111.8027967214584
2005-02-11,900626.3486984372,101083.68479281664,1001710.0334912539,1710.0334912538528
2005-02-14,900626.3486984372,100936.54033303261,1001562.8890314698,1562.889031469822
2005-02-15,900626.3486984372,101284.31948378682,1001910.668182224,1910.6681822240353
2005-02-16,900626.3486984372,101306.90676316619,1001933.2554616034,1933.255461603403
2005-02-17,900626.3486984372,100701.7078152299,1001328.0565136671,1328.0565136671066
2005-02-18,900626.3486984372,100371.31832271814,1000997.6670211554,997.6670211553574
2005-02-22,900626.3486984372,98739.13884788752,999365.4875463247,-634.5124536752701
2005-02-23,900626.3486984372,99355.69672748446,999982.0454259217,-17.954574078321457
2005-02-24,900626.3486984372,100188.70598420501,1000815.0546826422,815.0546826422215
2005-02-25,900626.3486984372,101163.83387431502,1001790.1825727522,1790.1825727522373
2005-02-28,900626.3486984372,100105.6690993905,1000732.0177978277,732.0177978277206
2005-03-01,900626.3486984372,100696.5101659298,1001322.858864367,1322.8588643670082
2005-03-02,900626.3486984372,100544.67581823468,1001171.0245166719,1171.024516671896
2005-03-03,900626.3486984372,100546.4710341394,1001172.8197325766,1172.8197325766087
2005-03-04,900626.3486984372,101568.38336020708,1002194.7320586443,2194.7320586442947
2005-03-07,900626.3486984372,101953.44732180238,1002579.7960202396,2579.7960202395916
2005-03-08,900626.3486984372,101462.96133413911,1002089.3100325763,2089.3100325763226
2005-03-09,900626.3486984372,100352.52167865634,1000978.8703770936,978.8703770935535
2005-03-10,900626.3486984372,100371.96685060859,1000998.3155490458,998.3155490458012
2005-03-11,900626.3486984372,99797.840295434,1000424.1889938712,424.188993871212
2005-03-14,900626.3486984372,100211.51447698474,1000837.863175422,837.8631754219532
