ticker,rows,trades,load_s,signal_s,sim_s,total_s
A,5032,3000,0.0012434999998731655,0.001281599999856553,0.16123719999995956,0.16376229999968928
AAPL,5032,3313,0.0011618999997153878,0.0011674000006678398,0.16177539999989676,0.16410470000028
ABBV,3019,1885,0.001306799999838404,0.0010719000001699897,0.08261959999981627,0.08499829999982467
ABT,5032,3098,0.0010957999993479461,0.0010453000004417845,0.16198590000021795,0.16412700000000768
ACGL,5032,3436,0.0010847000003195717,0.0011339000002408284,0.162957099999403,0.1651756999999634
ACN,5032,3328,0.0012618000000657048,0.0011193000000275788,0.16144859999985783,0.16382969999995112
ADBE,5032,3134,0.0012115999998059124,0.0011212999997951556,0.16310580000026675,0.16543869999986782
ADI,5032,2959,0.0011136999992231722,0.0011138000008941162,0.1632353000004514,0.16546280000056868
ADM,5032,2996,0.0013159999998606509,0.0011629000000539236,0.16142180000042572,0.1639007000003403
ADP,5032,3179,0.0011623999998846557,0.0011346999999659602,0.16487990000041464,0.16717700000026525
ADSK,5032,2926,0.0011434999996708939,0.0011213000007046503,0.1619989999999234,0.16426380000029894
AEE,5032,3066,0.001344999999673746,0.0011868999999933294,0.16336260000025504,0.16589449999992212
AEP,5032,3114,0.0012100000003556488,0.0011351000002832734,0.16153190000022732,0.16387700000086625
AES,5032,2693,0.0011513999997987412,0.0011070000000472646,0.16226869999991322,0.16452709999975923
AFL,5032,3230,0.001367200000458979,0.00118679999923188,0.16238159999920754,0.1649355999988984
AIG,5032,2801,0.0011150999998790212,0.0011067999994338606,0.16173859999980778,0.16396049999912066
AIZ,5032,3200,0.0013185999996494502,0.001155799999651208,0.16597519999959331,0.16844959999889397
AJG,5032,3272,0.001311800000621588,0.0011757000002035056,0.16289099999994505,0.16537850000077015
AKAM,5032,2942,0.0015071999996507657,0.0012136000004829839,0.16074010000011185,0.1634609000002456
ALB,5032,2922,0.0011245000005146721,0.0011024999994333484,0.1634911999999531,0.16571819999990112
ALGN,5032,3060,0.0012664999994740356,0.0011459999996077386,0.16249100000004546,0.16490349999912723
ALL,5032,3176,0.0012519000001702807,0.0011282000004939619,0.163033899999391,0.16541400000005524
ALLE,2797,1640,0.001178299999992305,0.0010416999994049547,0.07511429999976826,0.07733429999916552
AMAT,5032,2853,0.0011731000004147063,0.001105900000766269,0.1638756000002104,0.16615460000139137
AMCR,3177,1754,0.0011910000002899324,0.001054600000315986,0.08613789999981236,0.08838350000041828
AMD,5032,2587,0.0010269999993397505,0.001049800000146206,0.16375630000038655,0.1658330999998725
AME,5032,3358,0.001267599999664526,0.0011187000000063563,0.16364900000007765,0.16603529999974853
AMGN,5032,2770,0.0012532000000646804,0.0011559000004126574,0.16432559999975638,0.16673470000023372
AMP,4855,3144,0.0013729000002058456,0.0011007999992216355,0.1309781000009025,0.13345180000032997
AMT,5032,3125,0.0012308000004850328,0.0011488000000099419,0.16429990000051475,0.16667950000100973
AMZN,5032,3252,0.0010541999999986729,0.001080799999726878,0.16260409999995318,0.16473909999967873
ANET,2660,1751,0.0011092000004282454,0.0009924000005412381,0.07182209999973566,0.07392370000070514
AON,5032,3436,0.0010496999993847567,0.0010488999996596249,0.16277179999997315,0.16487039999901754
AOS,5032,3178,0.001389500000186672,0.0012331999996604281,0.16318690000025526,0.16580960000010236
APA,5032,2600,0.0011936999999306863,0.0011162000000695116,0.162074500000017,0.1643844000000172
APD,5032,3155,0.0011318999995637569,0.0011037000003852881,0.16157120000025316,0.1638068000002022
APH,5032,3401,0.0010910999999396154,0.001105700000152865,0.1629053999995449,0.16510219999963738
APO,3461,2157,0.0010886000000027707,0.0010226999993392383,0.09384080000018002,0.09595209999952203
APTV,3299,1989,0.001043000000208849,0.001085800000510062,0.08916500000032102,0.09129380000103993
ARE,5032,3088,0.0011687000005622394,0.0011070999998992193,0.16602060000059282,0.16829640000105428
ATO,5032,3371,0.001448700000764802,0.0012028000001009787,0.16283239999938814,0.16548390000025393
AVB,5032,3152,0.0012683999993896578,0.0011464999997770065,0.1623453000001973,0.16476019999936398
AVGO,3876,2667,0.0011856999999508844,0.0010686000005080132,0.10456299999987095,0.10681730000032985
AVY,5032,2998,0.0012545999998110346,0.0011404999995647813,0.1637771999994584,0.1661722999988342
AWK,4201,2782,0.0012246000005688984,0.0010921000002781511,0.11228380000011384,0.11460050000096089
AXON,5032,2730,0.0012109999997846899,0.0011159000005136477,0.16331300000001647,0.1656399000003148
AXP,5032,3033,0.0016322000001309789,0.0012367999997877632,0.16310220000013942,0.16597120000005816
AZO,5032,3226,0.0012028000001009787,0.0011443999992479803,0.16361720000077185,0.1659644000001208
BA,5032,2842,0.0015948999998727231,0.0012632999996640137,0.16355099999964295,0.1664091999991797
BAC,5032,2842,0.0015805000002728775,0.0012170999998488696,0.1635588999997708,0.16635649999989255
BALL,5032,3091,0.0011646000002656365,0.001113700000132667,0.16152729999976145,0.16380560000015976
BAX,5032,2878,0.001291999999921245,0.001170300000012503,0.1628707999998369,0.16533309999977064
BBWI,5032,2876,0.0014160000000629225,0.001190899999528483,0.1626667999998972,0.1652736999994886
BBY,5032,2623,0.001389299999573268,0.0011819999999715947,0.1617036999996344,0.16427499999917927
BDX,5032,3014,0.0011948999999731313,0.0011283000003459165,0.16251800000009098,0.16484120000041003
BEN,5032,2736,0.0012038000004395144,0.0010940000001937733,0.16454290000001492,0.1668407000006482
BG,5032,2738,0.0012950000000273576,0.0012121999998271349,0.1629929999999149,0.1655001999997694
BIIB,5032,2699,0.0014012000001457636,0.0012873999994553742,0.16271140000026207,0.1653999999998632
BIO,5032,3007,0.0011837999991257675,0.0011065999997299514,0.1639180000001943,0.16620839999905002
BK,5032,2941,0.0014704000004712725,0.0011626000004980597,0.16435319999982312,0.16698620000079245
BKNG,5032,3363,0.0012246999995113583,0.001162500000646105,0.1614798000000519,0.16386700000020937
BKR,5032,2640,0.0011837000001833076,0.0011019000003216206,0.16223470000022644,0.16452030000073137
BLDR,4910,2836,0.0012894000001324457,0.0011452999997345614,0.1326574000004257,0.1350921000002927
BLK,5032,3144,0.0010848000001715263,0.001103099999454571,0.16279819999999745,0.16498609999962355
BMY,5032,3005,0.001451900000574824,0.0012106000003768713,0.16438409999955184,0.16704660000050353
BR,4475,2947,0.0012575000000651926,0.0011108999997304636,0.12055259999942791,0.12292099999922357
BRK,3629,1678,0.0011082999999416643,0.0010640000000421423,0.09774079999988317,0.09991309999986697
BRO,5032,3231,0.001478799999858893,0.0012302000004638103,0.16364969999995083,0.16635870000027353
BSX,5032,2839,0.0012503000007200171,0.0011850000000777072,0.1599489000000176,0.16238420000081533
BWA,5032,2828,0.0013165999998818734,0.0011656000006041722,0.16533369999979186,0.1678159000002779
BX,4411,2666,0.001153100000010454,0.001079300000128569,0.12055850000069768,0.1227909000008367
BXP,5032,2779,0.0012930000002597808,0.001209500000186381,0.1610645000000659,0.16356700000051205
C,5032,2809,0.0013331000000107451,0.0011618999997153878,0.16146149999985937,0.1639564999995855
CAG,5032,2855,0.0011954000001423992,0.0011426000000938075,0.16265990000010788,0.1649979000003441
CAH,5032,2940,0.001133000000663742,0.0011303000001134933,0.16265830000065762,0.16492160000143485
