Date,Cash,Holdings,Total Assets,PnL
2005-01-21,1000000.0,0.0,1000000.0,0.0
2005-01-24,998000.8312182724,1999.1687817275524,1000000.0,0.0
2005-01-25,995608.1086629778,4399.289476901293,1000007.3981398791,7.398139879107475
2005-01-26,993292.5248557925,6748.043726071715,1000040.5685818642,40.568581864237785
2005-01-27,992010.0153672099,8042.429806143045,1000052.445173353,52.44517335295677
2005-01-28,990740.0784371495,9287.06774161756,1000027.1461787671,27.146178767085075
2005-01-31,989582.1880940795,10562.970445767045,1000145.1585398465,145.1585398465395
2005-02-01,989077.107824266,11121.630054056644,1000198.7378783226,198.73787832260132
2005-02-02,988571.2371329665,11672.8589759171,1000244.0961088836,244.0961088836193
2005-02-03,988265.6698827147,11923.131294339895,1000188.8011770546,188.80117705464363
2005-02-04,987911.0582224727,12419.508009627461,1000330.5662321001,330.5662321001291
2005-02-07,987737.4071195722,12597.56363555789,1000334.97075513,334.97075513005257
2005-02-08,987545.8660209775,12795.65884667635,1000341.5248676538,341.52486765384674
2005-02-09,987295.8261262774,12936.805624589324,1000232.6317508668,232.63175086677074
2005-02-10,986948.5376431346,13308.213513553143,1000256.7511566877,256.7511566877365
2005-02-11,986693.2643496394,13697.522725582123,1000390.7870752215,390.78707522153854
2005-02-14,986630.2118797898,13795.663563936949,1000425.8754437268,425.87544372677803
2005-02-15,986580.4168159366,13912.70038856566,1000493.1172045022,493.1172045022249
2005-02-16,986506.0649453998,14013.78775651753,1000519.8527019173,519.8527019172907
2005-02-17,986493.520445168,13912.623144596815,1000406.1435897648,406.14358976483345
2005-02-18,986438.5542785525,13964.478110074997,1000403.0323886275,403.03238862752914
2005-02-22,986335.1188808084,13837.578603714705,1000172.697484523,172.69748452305794
2005-02-23,985842.2324243188,14366.033753409982,1000208.2661777288,208.26617772877216
2005-02-24,985475.5326380134,14864.504631504416,1000340.0372695178,340.03726951777935
2005-02-25,985309.3502461314,15188.344436004758,1000497.6946821362,497.694682136178
2005-02-28,985218.0118419528,15204.354848086834,1000422.3666900396,422.3666900396347
2005-03-01,985056.6576544642,15531.264622539282,1000587.9222770035,587.9222770035267
2005-03-02,984994.502081573,15563.910576209426,1000558.4126577824,558.4126577824354
2005-03-03,984941.3486680388,15590.305102571845,1000531.6537706107,531.6537706106901
2005-03-04,984897.9637688994,15802.339065939188,1000700.3028348386,700.3028348386288
2005-03-07,984844.5379983783,15938.52094374597,1000783.0589421242,783.0589421242476
2005-03-08,984789.6787285209,15882.839717134833,1000672.5184456557,672.5184456557035
2005-03-09,984638.6818518043,15865.64094389975,1000504.322795704,504.32279570400715
2005-03-10,984427.521355331,16094.307933881879,1000521.8292892128,521.8292892128229
2005-03-11,984304.3346742988,16097.12716048956,1000401.4618347883,401.46183478832245
2005-03-14,984164.0728490949,16370.872496142983,1000534.9453452379,534.9453452378511
2005-03-15,983966.2835453153,16472.74765649438,1000439.0312018096,439.0312018096447
2005-03-16,982968.0653303266,17304.425333708525,1000272.4906640351,272.49066403508186
2005-03-17,982609.8144027591,17675.65553945303,1000285.4699422121,285.4699422121048
2005-03-18,982363.2693871856,17872.303498640656,1000235.5728858262,235.57288582623005
2005-03-21,981396.7968996167,18750.2228602916,1000147.0197599083,147.01975990831852
2005-03-22,980096.2354450822,19884.03453475237,999980.2699798346,-19.73002016544342
2005-03-23,978487.9904051423,21444.389675557613,999932.3800806999,-67.61991930007935
2005-03-24,976766.9986353517,23153.935792654753,999920.9344280064,-79.0655719935894
2005-03-28,974956.8069804311,25016.279967173934,999973.086947605,-26.913052394986153
2005-03-29,973384.5916870236,26502.49472260475,999887.0864096284,-112.91359037160873
2005-03-30,972265.2237785459,27882.82339477539,1000148.0471733212,148.0471733212471
2005-03-31,971986.1171212792,27959.786548808217,999945.9036700875,-54.0963299125433
2005-04-01,971132.343198359,28291.934124842286,999424.2773232013,-575.7226767987013
2005-04-04,970173.8194823861,29523.90935394168,999697.7288363278,-302.2711636722088
2005-04-05,969529.6920312047,30238.37257359922,999768.0646048039,-231.9353951960802
2005-04-06,969238.4799546599,30586.579004585743,999825.0589592457,-174.94104075431824
2005-04-07,968990.722522676,30946.466819241643,999937.1893419176,-62.81065808236599
2005-04-08,968806.4026584029,30844.328176543117,999650.730834946,-349.26916505396366
2005-04-11,967932.0020427108,31672.79552102089,999604.7975637317,-395.2024362683296
2005-04-12,966779.1479448676,33165.069120153785,999944.2170650214,-55.78293497860432
2005-04-13,966546.4002022147,32869.710263744,999416.1104659587,-583.8895340412855
2005-04-14,966192.2310721278,32859.627362027764,999051.8584341556,-948.1415658444166
2005-04-15,965290.1143395305,33415.32805365324,998705.4423931837,-1294.5576068162918
2005-04-18,963545.9243698418,35267.92535221577,998813.8497220576,-1186.150277942419
2005-04-19,962340.3160283118,36700.277398481965,999040.5934267938,-959.4065732061863
2005-04-20,961704.6405665427,36951.16068281233,998655.8012493551,-1344.1987506449223
2005-04-21,959786.302850917,39625.5159984082,999411.8188493252,-588.18115067482
2005-04-22,958720.0029067546,40142.91502584517,998862.9179325998,-1137.082067400217
2005-04-25,957468.7693815976,41950.03247620165,999418.8018577993,-581.1981422007084
2005-04-26,957113.1440177709,42025.81768061221,999138.9616983831,-861.0383016169071
2005-04-27,956694.7589878589,42645.27894665301,999340.0379345119,-659.9620654881
2005-04-28,956379.7464268953,42493.298953190446,998873.0453800857,-1126.9546199142933
2005-04-29,955848.2156600505,43367.63706178963,999215.8527218401,-784.1472781598568
2005-05-02,954862.3430726081,44795.81131474674,999658.1543873549,-341.84561264514923
2005-05-03,953972.2345011979,45777.26203075051,999749.4965319484,-250.50346805155277
2005-05-04,953729.6001065522,46604.6639162153,1000334.2640227675,334.2640227675438
2005-05-05,953622.662513569,46610.991790130734,1000233.6543036997,233.65430369973183
2005-05-06,953486.1120732576,46903.73071835935,1000389.8427916169,389.84279161691666
2005-05-09,953338.5945781022,47327.56265886128,1000666.1572369635,666.1572369635105
2005-05-10,953232.2188516408,46945.796403720975,1000178.0152553618,178.01525536179543
2005-05-11,953029.7704344541,47320.0122269243,1000349.7826613784,349.78266137838364
2005-05-12,952867.0307541639,46985.56469784677,999852.5954520106,-147.40454798936844
2005-05-13,952587.1954851896,46987.944161206484,999575.139646396,-424.8603536039591
2005-05-16,952314.5393006355,47769.89321440458,1000084.43251504,84.43251504004002
2005-05-17,952144.669317916,48323.69466382265,1000468.3639817387,468.36398173868656
2005-05-18,952015.1020264179,49062.77210903168,1001077.8741354495,1077.8741354495287
2005-05-19,951974.3224148303,49356.77182352543,1001331.0942383558,1331.0942383557558
2005-05-20,951937.4097809345,49313.333213344216,1001250.7429942787,1250.7429942786694
2005-05-23,951909.7078394443,49428.795478224754,1001338.503317669,1338.503317669034
2005-05-24,951881.8415941745,49417.21445406973,1001299.0560482442,1299.056048244238
2005-05-25,951863.5135550052,49084.148180663586,1000947.6617356688,947.6617356687784
2005-05-26,951845.3574194461,49629.75710903108,1001475.1145284772,1475.114528477192
2005-05-27,951826.9262346774,49853.741351276636,1001680.6675859541,1680.66758595407
2005-05-31,951826.9262346774,49704.0509840101,1001530.9772186875,1530.9772186875343
2005-06-01,951776.2353105098,50282.54465071857,1002058.7799612284,2058.7799612283707
2005-06-02,951748.3853101283,50396.68562372029,1002145.0709338486,2145.0709338486195
2005-06-03,951748.3853101283,50032.249358192086,1001780.6346683204,1780.6346683204174
2005-06-06,951709.3342275172,50065.81793101132,1001775.1521585286,1775.1521585285664
2005-06-07,951669.7880315334,50202.32512430847,1001872.1131558418,1872.1131558418274
2005-06-08,951660.3716163188,50053.64965215325,1001714.0212684721,1714.0212684720755
2005-06-09,951615.9068488628,50316.92057193816,1001932.8274208009,1932.8274208009243
2005-06-10,951592.1545342952,50221.413177624345,1001813.5677119195,1813.5677119195461
2005-06-13,951513.1832427531,50569.57108089328,1002082.7543236464,2082.754323646426
2005-06-14,951503.7124003917,50774.34525156021,1002278.0576519519,2278.057651951909
2005-06-15,951503.7124003917,50863.09722827375,1002366.8096286654,2366.8096286654472
2005-06-16,951403.514928773,51289.24654485285,1002692.7614736259,2692.7614736258984
2005-06-17,951303.3327264339,51528.39410173893,1002831.7268281728,2831.726828172803
2005-06-20,951265.7460526973,51513.882365092635,1002779.6284177899,2779.628417789936
2005-06-21,951228.9961938411,51548.07437039912,1002777.0705642402,2777.070564240217
2005-06-22,951183.333982423,51568.658467292786,1002751.9924497157,2751.9924497157335
2005-06-23,951123.640477851,50908.26181305945,1002031.9022909105,2031.9022909104824
2005-06-24,950772.041296199,50789.22553624213,1001561.2668324411,1561.2668324410915
2005-06-27,950359.2175988704,51115.640041440725,1001474.8576403111,1474.857640311122
2005-06-28,949805.7738613635,52276.07598251104,1002081.8498438746,2081.8498438745737
2005-06-29,949682.9866845161,52912.13395065069,1002595.1206351668,2595.1206351667643
2005-06-30,949540.6690094024,52749.44893151522,1002290.1179409176,2290.117940917611
2005-07-01,949429.9202644378,52992.3715313375,1002422.2917957753,2422.2917957752943
2005-07-05,949309.8124477416,53553.22866100073,1002863.0411087424,2863.0411087423563
2005-07-06,949217.8542272598,53386.0397682488,1002603.8939955086,2603.8939955085516
2005-07-07,948948.6555630714,53791.21036554873,1002739.8659286201,2739.8659286201
2005-07-08,948685.032174781,54822.9592217654,1003507.9913965464,3507.991396546364
2005-07-11,948648.4667965919,55333.19858549535,1003981.6653820872,3981.6653820872307
2005-07-12,948624.1121174842,55484.037769436836,1004108.149886921,4108.149886921048
2005-07-13,948542.3271863014,55604.27732284367,1004146.604509145,4146.604509145021
2005-07-14,948459.8653256446,55728.94239014387,1004188.8077157885,4188.807715788484
2005-07-15,948391.7877611667,55913.75209771097,1004305.5398588777,4305.539858877659
2005-07-18,948334.8100673705,55633.15998660028,1003967.9700539708,3967.9700539708138
2005-07-19,948277.236296609,56289.087104052305,1004566.3234006613,4566.323400661349
2005-07-20,947956.1672665626,57265.89364117384,1005222.0609077364,5222.060907736421
2005-07-21,947644.9525513202,57288.69962057471,1004933.6521718949,4933.652171894908
2005-07-22,947271.9925059825,57881.8237875551,1005153.8162935376,5153.816293537617
2005-07-25,947211.5883693248,57692.97406134009,1004904.5624306649,4904.562430664897
2005-07-26,947165.2029542476,57873.09167286754,1005038.2946271151,5038.29462711513
2005-07-27,947101.0269984752,58165.37439119816,1005266.4013896734,5266.401389673352
2005-07-28,947027.0345515758,58759.83735512197,1005786.8719066978,5786.87190669775
2005-07-29,946916.3496665508,58548.09579491615,1005464.4454614669,5464.4454614669085
2005-08-01,946535.5737084895,58957.52836957574,1005493.1020780653,5493.102078065276
2005-08-02,946407.7884387523,59405.58254618943,1005813.3709849417,5813.370984941721
2005-08-03,946312.2191824466,59324.86676903069,1005637.0859514773,5637.085951477289
2005-08-04,946239.6614193469,58930.906945586205,1005170.5683649331,5170.568364933133
2005-08-05,946106.1078075916,58414.85767522454,1004520.9654828161,4520.9654828161
2005-08-08,945767.3926653415,58404.39986792207,1004171.7925332636,4171.792533263564
2005-08-09,945335.2515902072,59263.25547529757,1004598.5070655048,4598.507065504789
2005-08-10,945142.6240114719,59460.81816634536,1004603.4421778172,4603.4421778172255
2005-08-11,944864.9905647784,60111.34366670251,1004976.334231481,4976.334231480956
2005-08-12,944713.545482114,60059.78653714061,1004773.3320192546,4773.332019254565
2005-08-15,944482.0475039035,60643.749802306294,1005125.7973062098,5125.797306209803
