ticker,rows,trades,load_s,signal_s,sim_s,total_s
A,5013,794,0.00109119999979157,0.0012647000003198627,0.16286999999920226,0.1652258999993137
AAPL,5013,869,0.0010634000000209198,0.0012445000002117013,0.15962969999964116,0.16193759999987378
ABBV,3000,476,0.001219900000251073,0.001308699999754026,0.08109919999969861,0.08362779999970371
ABT,5013,806,0.0010508999994272017,0.0012231999999130494,0.16399989999990794,0.1662739999992482
ACGL,5013,850,0.0012059000000590459,0.0012751000003845547,0.16155740000067453,0.16403840000111813
ACN,5013,803,0.0011695000002873712,0.001240700000380457,0.1636116999998194,0.16602190000048722
ADBE,5013,804,0.0011575999997148756,0.0012698000000455067,0.16114090000064607,0.16356830000040645
ADI,5013,786,0.001247000000148546,0.0013758999994024634,0.16294789999938075,0.16557079999893176
ADM,5013,754,0.0013882000002922723,0.0013144000004103873,0.16096920000018144,0.1636718000008841
ADP,5013,781,0.001174199999695702,0.0013223000005382346,0.16145750000032422,0.16395400000055815
ADSK,5013,794,0.0011481999999887194,0.0013810000000376021,0.16299789999993664,0.16552709999996296
AEE,5013,823,0.0012833999999202206,0.0012493000003814814,0.16361830000005284,0.16615100000035454
AEP,5013,836,0.0011028999997506617,0.0012081999993824866,0.1618336999999883,0.16414479999912146
AES,5013,761,0.0011483999996926286,0.0012727999992421246,0.1614970999999059,0.16391829999884067
AFL,5013,778,0.001293499999519554,0.001294400000006135,0.1620855000001029,0.1646733999996286
AIG,5013,764,0.0014875999995638267,0.00136090000069089,0.162297299999409,0.16514579999966372
AIZ,5013,771,0.0012420000002748566,0.0013925999992352445,0.1639882999998008,0.1666228999993109
AJG,5013,812,0.0011332999993101112,0.001229599999533093,0.16302540000015142,0.16538829999899463
AKAM,5013,731,0.0012900000001536682,0.0012808000001314213,0.16182949999983975,0.16440030000012484
ALB,5013,745,0.0014860999999655178,0.0013754000001426903,0.16407119999985298,0.1669326999999612
ALGN,5013,754,0.0016064000001279055,0.0013537999993786798,0.16198479999911797,0.16494499999862455
ALL,5013,763,0.001188700000056997,0.0015009999997346313,0.1616316999998162,0.16432139999960782
ALLE,2778,442,0.0013508999991245219,0.0011838000000352622,0.07542829999965761,0.0779629999988174
AMAT,5013,807,0.0009532000003673602,0.0011703999998644576,0.16320309999991878,0.1653267000001506
AMCR,3158,318,0.0011282000004939619,0.0011647999999695458,0.08482110000022658,0.08711410000069009
AMD,5013,763,0.0011529999992490048,0.0011759999997593695,0.16175709999970422,0.1640860999987126
AME,5013,801,0.0012325000006967457,0.0012759999999616412,0.16335410000010597,0.16586260000076436
AMGN,5013,753,0.0010843000000022585,0.0012493999993239413,0.16125110000029963,0.16358479999962583
AMP,4836,801,0.0013627999996970175,0.0012519000001702807,0.13268110000080924,0.13529580000067654
AMT,5013,813,0.0010709999996834085,0.001220899999680114,0.1614187999994101,0.16371069999877363
AMZN,5013,797,0.0011464999997770065,0.0012393000006341026,0.162180499999522,0.1645662999999331
ANET,2641,413,0.001149499999883119,0.0011314999992464436,0.07310190000043804,0.0753828999995676
AON,5013,768,0.0012071999999534455,0.0012796999999409309,0.1613604000003761,0.16384730000027048
AOS,5013,775,0.0010518999997657374,0.0012111999994885991,0.16294159999961266,0.165204699998867
APA,5013,795,0.0012775999994119047,0.0013251000000309432,0.16309930000079476,0.1657020000002376
APD,5013,751,0.0012521999997261446,0.0012513000001490582,0.16295940000054543,0.16546290000042063
APH,5013,814,0.0013066000001344946,0.0012624000000869273,0.16093869999986055,0.16350770000008197
APO,3442,582,0.001224999999976717,0.0011914000006072456,0.09281869999995251,0.09523510000053648
APTV,3280,498,0.0012629000002561952,0.0011943999998038635,0.08991150000019843,0.09236880000025849
ARE,5013,812,0.0009632999999666936,0.001178500000605709,0.16328410000005533,0.16542590000062773
ATO,5013,821,0.0011118000002170447,0.0012373999998089857,0.16364820000035252,0.16599740000037855
AVB,5013,820,0.0011618999997153878,0.0012652000004891306,0.1615668000004007,0.1639939000006052
AVGO,3857,629,0.0012724999996862607,0.0011683000002449262,0.10433259999990696,0.10677339999983815
AVY,5013,754,0.0011801999999079271,0.0013465000001815497,0.1606153999991875,0.16314209999927698
AWK,4182,704,0.0011101999998572865,0.0012111999994885991,0.11329310000019177,0.11561449999953766
AXON,5013,682,0.0013087000006635208,0.00129319999996369,0.16053869999996095,0.16314060000058817
AXP,5013,791,0.0014724000002388493,0.001350300000012794,0.16008319999946252,0.16290589999971417
AZO,5013,778,0.001317899999776273,0.0012729999998555286,0.1617403000000195,0.1643311999996513
BA,5013,795,0.0012805999995180173,0.0012727999992421246,0.1637365000005957,0.16628989999935584
BAC,5013,757,0.0013795000004392932,0.001313300000219897,0.16026110000075278,0.16295390000141197
BALL,5013,767,0.001171700000668352,0.0012575999999171472,0.15975489999982528,0.16218420000041078
BAX,5013,773,0.0014430999999603955,0.0013135999997757608,0.16060140000081446,0.16335810000055062
BBWI,5013,772,0.0014982000002419227,0.0013417000000117696,0.16269550000015442,0.16553540000040812
BBY,5013,711,0.001370100000713137,0.0012925999999424675,0.16278130000046076,0.16544400000111636
BDX,5013,781,0.0013736000000790227,0.001297599999816157,0.16273389999969368,0.16540509999958886
BEN,5013,776,0.0012373999998089857,0.0012888000001112232,0.1622695999994903,0.16479579999941052
BG,5013,716,0.0012942000003022258,0.0012864000000263331,0.16103949999978795,0.1636201000001165
BIIB,5013,704,0.001183600000331353,0.0012374999996609404,0.1605859999999666,0.16300709999995888
BIO,5013,739,0.0012618000000657048,0.0013324999999895226,0.16222350000043662,0.16481780000049184
BK,5013,774,0.001314299999648938,0.0012710000000879518,0.1622293999998874,0.16481469999962428
BKNG,5013,760,0.0010511999998925603,0.0011954000001423992,0.1616561000000729,0.16390270000010787
BKR,5013,814,0.0011721999999281252,0.001240200000211189,0.1618066999999428,0.1642191000000821
BLDR,4891,755,0.0013236999993750942,0.0012759999999616412,0.13344559999950434,0.13604529999884107
BLK,5013,820,0.0011352999999871827,0.0012522000006356393,0.16011260000050243,0.16250010000112525
BMY,5013,760,0.0012819000003219116,0.0012526999998954125,0.16151339999942138,0.1640479999996387
BR,4456,727,0.0012456000004021917,0.0011933999994653277,0.12126239999997779,0.12370139999984531
BRK,3610,524,0.0014664000000266242,0.001264900000023772,0.09742519999963406,0.10015649999968446
BRO,5013,814,0.0011022999997294392,0.0012207999998281593,0.16044400000009773,0.16276709999965533
BSX,5013,750,0.0012403999999150983,0.0012655000000449945,0.1612118000002738,0.1637177000002339
BWA,5013,767,0.001175899999907415,0.0012669999996433035,0.16181039999992208,0.1642532999994728
BX,4392,733,0.0010801999997056555,0.0011819999999715947,0.11930050000046322,0.12156270000014047
BXP,5013,835,0.001262499999938882,0.001214300000356161,0.16116890000012063,0.16364570000041567
C,5013,759,0.0011549000000741216,0.0012752000002365094,0.1614620999998806,0.16389220000019122
CAG,5013,730,0.0011355000006005866,0.0012421000001268112,0.16172829999959504,0.16410590000032244
CAH,5013,765,0.001435499999388412,0.00141780000012659,0.1608139999998457,0.1636672999993607
CAT,5013,772,0.0015103000005183276,0.001343799999631301,0.16096870000001218,0.1638228000001618
CB,5013,811,0.0013539999999920838,0.001312800000050629,0.16304779999973107,0.16571459999977378
CBOE,3642,587,0.0011653999999907683,0.0011563999996724306,0.09829979999994976,0.10062159999961295
CBRE,5013,794,0.0009788999996089842,0.0011892000002262648,0.16125639999972918,0.16342449999956443
CCI,5013,828,0.0013789000004180707,0.0012824999994336395,0.16090990000066085,0.16357130000051257
